tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-09-01,DKI1 (Bunderan HI),63,20,6,60,11,84,PM25,SEDANG
2020-09-02,DKI1 (Bunderan HI),57,18,6,81,13,85,PM25,SEDANG
2020-09-03,DKI1 (Bunderan HI),58,18,8,65,13,85,PM25,SEDANG
2020-09-04,DKI1 (Bunderan HI),48,19,5,44,9,64,PM25,SEDANG
2020-09-05,DKI1 (Bunderan HI),50,17,5,88,12,88,O3,SEDANG
2020-09-06,DKI1 (Bunderan HI),59,17,7,84,12,92,PM25,SEDANG
2020-09-07,DKI1 (Bunderan HI),---,23,6,64,12,89,PM25,SEDANG
2020-09-08,DKI1 (Bunderan HI),58,22,5,47,12,81,PM25,SEDANG
2020-09-09,DKI1 (Bunderan HI),56,22,4,39,9,80,PM25,SEDANG
2020-09-10,DKI1 (Bunderan HI),56,18,6,78,13,80,PM25,SEDANG
2020-09-11,DKI1 (Bunderan HI),68,18,7,70,22,97,PM25,SEDANG
2020-09-12,DKI1 (Bunderan HI),59,18,7,99,18,99,O3,SEDANG
2020-09-13,DKI1 (Bunderan HI),60,18,7,86,11,86,O3,SEDANG
2020-09-14,DKI1 (Bunderan HI),57,18,6,58,11,86,PM25,SEDANG
2020-09-15,DKI1 (Bunderan HI),55,16,6,69,12,76,PM25,SEDANG
2020-09-16,DKI1 (Bunderan HI),57,16,7,59,14,77,PM25,SEDANG
2020-09-17,DKI1 (Bunderan HI),45,18,4,49,10,68,PM25,SEDANG
2020-09-18,DKI1 (Bunderan HI),52,19,4,42,10,71,PM25,SEDANG
2020-09-19,DKI1 (Bunderan HI),60,22,5,68,11,86,PM25,SEDANG
2020-09-20,DKI1 (Bunderan HI),44,19,3,35,6,56,PM25,SEDANG
2020-09-21,DKI1 (Bunderan HI),46,18,8,64,9,64,O3,SEDANG
2020-09-22,DKI1 (Bunderan HI),37,15,6,82,11,82,O3,SEDANG
2020-09-23,DKI1 (Bunderan HI),54,20,7,78,12,78,O3,SEDANG
2020-09-24,DKI1 (Bunderan HI),57,17,6,82,14,82,O3,SEDANG
2020-09-25,DKI1 (Bunderan HI),62,19,6,65,11,91,PM25,SEDANG
2020-09-26,DKI1 (Bunderan HI),69,19,10,91,14,103,PM25,TIDAK SEHAT
2020-09-27,DKI1 (Bunderan HI),61,17,11,77,13,87,PM25,SEDANG
2020-09-28,DKI1 (Bunderan HI),42,16,5,70,10,70,O3,SEDANG
2020-09-29,DKI1 (Bunderan HI),52,19,6,66,11,72,PM25,SEDANG
2020-09-30,DKI1 (Bunderan HI),55,19,6,47,11,76,PM25,SEDANG
2020-09-01,DKI2 (Kelapa Gading),69,25,8,70,13,96,PM25,SEDANG
2020-09-02,DKI2 (Kelapa Gading),72,21,10,122,11,122,O3,TIDAK SEHAT
2020-09-03,DKI2 (Kelapa Gading),80,21,12,94,12,94,O3,SEDANG
2020-09-04,DKI2 (Kelapa Gading),56,21,6,51,9,73,PM25,SEDANG
2020-09-05,DKI2 (Kelapa Gading),54,22,6,118,7,118,O3,TIDAK SEHAT
2020-09-06,DKI2 (Kelapa Gading),67,21,12,121,11,121,O3,TIDAK SEHAT
2020-09-07,DKI2 (Kelapa Gading),69,26,8,84,13,101,PM25,TIDAK SEHAT
2020-09-08,DKI2 (Kelapa Gading),64,25,6,59,11,90,PM25,SEDANG
2020-09-09,DKI2 (Kelapa Gading),62,23,7,55,10,89,PM25,SEDANG
2020-09-10,DKI2 (Kelapa Gading),56,21,6,95,7,95,O3,SEDANG
2020-09-11,DKI2 (Kelapa Gading),69,22,10,104,9,104,O3,TIDAK SEHAT
2020-09-12,DKI2 (Kelapa Gading),60,20,7,132,8,132,O3,TIDAK SEHAT
2020-09-13,DKI2 (Kelapa Gading),66,20,7,130,6,130,O3,TIDAK SEHAT
2020-09-14,DKI2 (Kelapa Gading),72,26,7,89,11,102,PM25,TIDAK SEHAT
2020-09-15,DKI2 (Kelapa Gading),57,36,7,74,13,80,PM25,SEDANG
2020-09-16,DKI2 (Kelapa Gading),63,25,12,70,15,89,PM25,SEDANG
2020-09-17,DKI2 (Kelapa Gading),56,29,6,57,15,72,PM25,SEDANG
2020-09-18,DKI2 (Kelapa Gading),61,23,6,57,11,77,PM25,SEDANG
2020-09-19,DKI2 (Kelapa Gading),69,42,8,66,13,93,PM25,SEDANG
2020-09-20,DKI2 (Kelapa Gading),53,20,5,41,5,60,PM25,SEDANG
2020-09-21,DKI2 (Kelapa Gading),48,23,16,84,10,84,O3,SEDANG
2020-09-22,DKI2 (Kelapa Gading),36,19,10,83,14,83,O3,SEDANG
2020-09-23,DKI2 (Kelapa Gading),72,33,15,84,14,101,PM25,TIDAK SEHAT
2020-09-24,DKI2 (Kelapa Gading),56,20,11,106,11,106,O3,TIDAK SEHAT
2020-09-25,DKI2 (Kelapa Gading),63,21,10,82,11,95,PM25,SEDANG
2020-09-26,DKI2 (Kelapa Gading),64,23,12,99,13,99,O3,SEDANG
2020-09-27,DKI2 (Kelapa Gading),57,20,12,93,13,93,O3,SEDANG
2020-09-28,DKI2 (Kelapa Gading),55,26,9,79,12,79,O3,SEDANG
2020-09-29,DKI2 (Kelapa Gading),---,---,---,---,---,0,,TIDAK ADA DATA
2020-09-30,DKI2 (Kelapa Gading),57,31,9,63,11,78,PM25,SEDANG
2020-09-01,DKI3 (Jagakarsa),53,26,10,59,6,86,PM25,SEDANG
2020-09-02,DKI3 (Jagakarsa),57,26,13,65,12,93,PM25,SEDANG
2020-09-03,DKI3 (Jagakarsa),54,25,14,75,6,88,PM25,SEDANG
2020-09-04,DKI3 (Jagakarsa),56,25,16,54,6,88,PM25,SEDANG
2020-09-05,DKI3 (Jagakarsa),54,25,16,121,6,121,O3,TIDAK SEHAT
2020-09-06,DKI3 (Jagakarsa),51,25,17,108,7,108,O3,TIDAK SEHAT
2020-09-07,DKI3 (Jagakarsa),61,27,19,78,8,103,PM25,TIDAK SEHAT
2020-09-08,DKI3 (Jagakarsa),53,28,13,61,7,85,PM25,SEDANG
2020-09-09,DKI3 (Jagakarsa),54,28,11,62,9,97,PM25,SEDANG
2020-09-10,DKI3 (Jagakarsa),45,26,9,70,6,79,PM25,SEDANG
2020-09-11,DKI3 (Jagakarsa),59,27,20,89,8,101,PM25,TIDAK SEHAT
2020-09-12,DKI3 (Jagakarsa),56,25,13,98,7,101,PM25,TIDAK SEHAT
2020-09-13,DKI3 (Jagakarsa),54,25,13,98,6,98,O3,SEDANG
2020-09-14,DKI3 (Jagakarsa),54,26,14,83,9,87,PM25,SEDANG
2020-09-15,DKI3 (Jagakarsa),52,24,16,80,7,87,PM25,SEDANG
2020-09-16,DKI3 (Jagakarsa),45,26,17,84,5,84,O3,SEDANG
2020-09-17,DKI3 (Jagakarsa),43,25,12,83,9,83,O3,SEDANG
2020-09-18,DKI3 (Jagakarsa),56,26,17,70,8,94,PM25,SEDANG
2020-09-19,DKI3 (Jagakarsa),56,26,16,65,6,97,PM25,SEDANG
2020-09-20,DKI3 (Jagakarsa),56,26,16,48,6,87,PM25,SEDANG
2020-09-21,DKI3 (Jagakarsa),36,27,22,75,5,75,O3,SEDANG
2020-09-22,DKI3 (Jagakarsa),33,26,15,60,5,60,PM25,SEDANG
2020-09-23,DKI3 (Jagakarsa),37,28,17,125,9,125,O3,TIDAK SEHAT
2020-09-24,DKI3 (Jagakarsa),51,29,16,128,8,128,O3,TIDAK SEHAT
2020-09-25,DKI3 (Jagakarsa),52,30,17,114,7,114,O3,TIDAK SEHAT
2020-09-26,DKI3 (Jagakarsa),60,30,18,85,6,105,PM25,TIDAK SEHAT
2020-09-27,DKI3 (Jagakarsa),58,31,19,86,9,96,PM25,SEDANG
2020-09-28,DKI3 (Jagakarsa),36,31,15,68,6,68,O3,SEDANG
2020-09-29,DKI3 (Jagakarsa),42,34,13,92,5,92,O3,SEDANG
2020-09-30,DKI3 (Jagakarsa),50,34,12,82,5,82,O3,SEDANG
2020-09-01,DKI4 (Lubang Buaya),71,33,10,55,9,71,PM10,SEDANG
2020-09-02,DKI4 (Lubang Buaya),71,34,9,91,8,91,CO,SEDANG
2020-09-03,DKI4 (Lubang Buaya),77,32,10,83,9,83,CO,SEDANG
2020-09-04,DKI4 (Lubang Buaya),66,32,6,43,6,66,PM10,SEDANG
2020-09-05,DKI4 (Lubang Buaya),70,32,8,82,6,82,CO,SEDANG
2020-09-06,DKI4 (Lubang Buaya),75,35,10,94,8,94,CO,SEDANG
2020-09-07,DKI4 (Lubang Buaya),72,35,12,65,---,72,PM10,SEDANG
2020-09-08,DKI4 (Lubang Buaya),78,35,9,51,8,78,PM10,SEDANG
2020-09-09,DKI4 (Lubang Buaya),82,36,6,60,7,82,PM10,SEDANG
2020-09-10,DKI4 (Lubang Buaya),77,33,4,86,6,86,CO,SEDANG
2020-09-11,DKI4 (Lubang Buaya),89,34,13,82,11,89,PM10,SEDANG
2020-09-12,DKI4 (Lubang Buaya),67,33,7,87,6,87,CO,SEDANG
2020-09-13,DKI4 (Lubang Buaya),72,34,8,89,5,89,CO,SEDANG
2020-09-14,DKI4 (Lubang Buaya),69,37,6,70,7,70,CO,SEDANG
2020-09-15,DKI4 (Lubang Buaya),---,33,9,76,10,76,CO,SEDANG
2020-09-16,DKI4 (Lubang Buaya),67,33,9,94,7,94,CO,SEDANG
2020-09-17,DKI4 (Lubang Buaya),65,36,8,84,9,84,CO,SEDANG
2020-09-18,DKI4 (Lubang Buaya),70,34,7,57,6,70,PM10,SEDANG
2020-09-19,DKI4 (Lubang Buaya),88,34,8,63,6,88,PM10,SEDANG
2020-09-20,DKI4 (Lubang Buaya),73,36,5,35,5,73,PM10,SEDANG
2020-09-21,DKI4 (Lubang Buaya),65,33,18,77,8,77,CO,SEDANG
2020-09-22,DKI4 (Lubang Buaya),62,33,8,58,7,62,PM10,SEDANG
2020-09-23,DKI4 (Lubang Buaya),73,33,15,84,10,84,CO,SEDANG
2020-09-24,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2020-09-25,DKI4 (Lubang Buaya),74,37,11,80,8,80,CO,SEDANG
2020-09-26,DKI4 (Lubang Buaya),73,35,16,92,7,92,CO,SEDANG
2020-09-27,DKI4 (Lubang Buaya),70,36,17,74,11,74,CO,SEDANG
2020-09-28,DKI4 (Lubang Buaya),74,37,6,63,8,74,PM10,SEDANG
2020-09-29,DKI4 (Lubang Buaya),68,38,6,97,10,97,CO,SEDANG
2020-09-30,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2020-09-01,DKI5 (Kebon Jeruk) Jakarta Barat,60,20,12,88,6,88,CO,SEDANG
2020-09-02,DKI5 (Kebon Jeruk) Jakarta Barat,56,19,12,92,10,92,CO,SEDANG
2020-09-03,DKI5 (Kebon Jeruk) Jakarta Barat,57,20,14,90,7,90,CO,SEDANG
2020-09-04,DKI5 (Kebon Jeruk) Jakarta Barat,58,18,13,56,5,58,PM10,SEDANG
2020-09-05,DKI5 (Kebon Jeruk) Jakarta Barat,58,18,11,123,5,123,CO,TIDAK SEHAT
2020-09-06,DKI5 (Kebon Jeruk) Jakarta Barat,58,19,14,140,7,140,CO,TIDAK SEHAT
2020-09-07,DKI5 (Kebon Jeruk) Jakarta Barat,62,25,9,113,5,113,CO,TIDAK SEHAT
2020-09-08,DKI5 (Kebon Jeruk) Jakarta Barat,53,20,9,78,5,78,CO,SEDANG
2020-09-09,DKI5 (Kebon Jeruk) Jakarta Barat,53,22,9,65,5,65,CO,SEDANG
2020-09-10,DKI5 (Kebon Jeruk) Jakarta Barat,57,18,10,141,4,141,CO,TIDAK SEHAT
2020-09-11,DKI5 (Kebon Jeruk) Jakarta Barat,64,18,20,109,8,109,CO,TIDAK SEHAT
2020-09-12,DKI5 (Kebon Jeruk) Jakarta Barat,62,18,12,128,6,128,CO,TIDAK SEHAT
2020-09-13,DKI5 (Kebon Jeruk) Jakarta Barat,55,19,9,109,4,109,CO,TIDAK SEHAT
2020-09-14,DKI5 (Kebon Jeruk) Jakarta Barat,53,20,9,85,5,85,CO,SEDANG
2020-09-15,DKI5 (Kebon Jeruk) Jakarta Barat,46,19,11,99,6,99,CO,SEDANG
2020-09-16,DKI5 (Kebon Jeruk) Jakarta Barat,50,18,12,117,8,117,CO,TIDAK SEHAT
2020-09-17,DKI5 (Kebon Jeruk) Jakarta Barat,43,20,7,86,4,86,CO,SEDANG
2020-09-18,DKI5 (Kebon Jeruk) Jakarta Barat,60,19,16,60,8,60,PM10,SEDANG
2020-09-19,DKI5 (Kebon Jeruk) Jakarta Barat,54,21,10,96,5,96,CO,SEDANG
2020-09-20,DKI5 (Kebon Jeruk) Jakarta Barat,39,21,6,38,6,39,PM10,BAIK
2020-09-21,DKI5 (Kebon Jeruk) Jakarta Barat,42,19,18,91,4,91,CO,SEDANG
2020-09-22,DKI5 (Kebon Jeruk) Jakarta Barat,36,17,10,84,8,84,CO,SEDANG
2020-09-23,DKI5 (Kebon Jeruk) Jakarta Barat,54,21,22,162,7,162,CO,TIDAK SEHAT
2020-09-24,DKI5 (Kebon Jeruk) Jakarta Barat,55,20,12,111,7,111,CO,TIDAK SEHAT
2020-09-25,DKI5 (Kebon Jeruk) Jakarta Barat,65,23,16,108,8,108,CO,TIDAK SEHAT
2020-09-26,DKI5 (Kebon Jeruk) Jakarta Barat,66,20,18,118,8,118,CO,TIDAK SEHAT
2020-09-27,DKI5 (Kebon Jeruk) Jakarta Barat,61,19,17,98,8,98,CO,SEDANG
2020-09-28,DKI5 (Kebon Jeruk) Jakarta Barat,41,19,9,97,5,97,CO,SEDANG
2020-09-29,DKI5 (Kebon Jeruk) Jakarta Barat,53,21,13,94,6,94,CO,SEDANG
2020-09-30,DKI5 (Kebon Jeruk) Jakarta Barat,54,21,14,78,7,78,CO,SEDANG
